,ds,y
256,2023-02-17 21:20:00,56.0
257,2023-02-17 21:30:00,56.0
258,2023-02-17 21:40:00,55.15625
259,2023-02-17 21:50:00,55.0
260,2023-02-17 22:00:00,55.0
261,2023-02-17 22:10:00,55.0
262,2023-02-17 22:20:00,55.0
263,2023-02-17 22:30:00,55.0
264,2023-02-17 22:40:00,55.0
265,2023-02-17 22:50:00,54.27941176470589
266,2023-02-17 23:00:00,54.0
267,2023-02-17 23:10:00,54.0
268,2023-02-17 23:20:00,54.0
269,2023-02-17 23:30:00,54.0
270,2023-02-17 23:40:00,54.0
271,2023-02-17 23:50:00,54.0
272,2023-02-18 00:00:00,54.0
273,2023-02-18 00:10:00,54.0
274,2023-02-18 00:20:00,54.0
275,2023-02-18 00:30:00,54.0
276,2023-02-18 00:40:00,54.0
277,2023-02-18 00:50:00,54.0
278,2023-02-18 01:00:00,54.0
279,2023-02-18 01:10:00,54.0
280,2023-02-18 01:20:00,54.0
281,2023-02-18 01:30:00,53.76811594202898
282,2023-02-18 01:40:00,53.0
283,2023-02-18 01:50:00,53.0
284,2023-02-18 02:00:00,53.0
285,2023-02-18 02:10:00,53.0
286,2023-02-18 02:20:00,53.0
287,2023-02-18 02:30:00,53.0
288,2023-02-18 02:40:00,53.0
289,2023-02-18 02:50:00,53.0
290,2023-02-18 03:00:00,53.0
291,2023-02-18 03:10:00,53.0
292,2023-02-18 03:20:00,53.0
293,2023-02-18 03:30:00,53.0
294,2023-02-18 03:40:00,53.0
295,2023-02-18 03:50:00,53.0
296,2023-02-18 04:00:00,53.0
297,2023-02-18 04:10:00,53.0
298,2023-02-18 04:20:00,53.0
299,2023-02-18 04:30:00,53.0
300,2023-02-18 04:40:00,53.0
301,2023-02-18 04:50:00,53.0
302,2023-02-18 05:00:00,53.0
303,2023-02-18 05:10:00,53.0
304,2023-02-18 05:20:00,53.0
305,2023-02-18 05:30:00,53.0
306,2023-02-18 05:40:00,53.0
307,2023-02-18 05:50:00,53.0
308,2023-02-18 06:00:00,53.0
309,2023-02-18 06:10:00,53.0
310,2023-02-18 06:20:00,51.88732394366197
311,2023-02-18 06:30:00,50.33846153846154
312,2023-02-18 06:40:00,48.62686567164179
313,2023-02-18 06:50:00,47.52173913043478
314,2023-02-18 07:00:00,46.52173913043478
315,2023-02-18 07:10:00,45.833333333333336
316,2023-02-18 07:20:00,45.0
317,2023-02-18 07:30:00,45.0
318,2023-02-18 07:40:00,44.05882352941177
319,2023-02-18 07:50:00,44.0
320,2023-02-18 08:00:00,44.0
321,2023-02-18 08:10:00,44.0
322,2023-02-18 08:20:00,43.31818181818182
323,2023-02-18 08:30:00,43.0
324,2023-02-18 08:40:00,43.0
325,2023-02-18 08:50:00,43.0
326,2023-02-18 09:00:00,43.0
327,2023-02-18 09:10:00,43.0
328,2023-02-18 09:20:00,43.0
329,2023-02-18 09:30:00,43.0
330,2023-02-18 09:40:00,42.53846153846154
331,2023-02-18 09:50:00,42.0
332,2023-02-18 10:00:00,42.0
333,2023-02-18 10:10:00,42.0
334,2023-02-18 10:20:00,42.0
335,2023-02-18 10:30:00,42.0
336,2023-02-18 10:40:00,42.0
337,2023-02-18 10:50:00,42.0
338,2023-02-18 11:00:00,42.0
339,2023-02-18 11:10:00,42.0
340,2023-02-18 11:20:00,42.0
341,2023-02-18 11:30:00,42.0
342,2023-02-18 11:40:00,42.0
343,2023-02-18 11:50:00,42.0
344,2023-02-18 12:00:00,42.0
345,2023-02-18 12:10:00,42.0
346,2023-02-18 12:20:00,42.0
347,2023-02-18 12:30:00,42.0
577,2023-02-20 02:50:00,41.0
578,2023-02-20 03:00:00,40.4375
579,2023-02-20 03:10:00,40.0
580,2023-02-20 03:20:00,40.0
581,2023-02-20 03:30:00,40.0
582,2023-02-20 03:40:00,40.0
583,2023-02-20 03:50:00,40.0
584,2023-02-20 04:00:00,40.0
585,2023-02-20 04:10:00,40.0
586,2023-02-20 04:20:00,40.0
587,2023-02-20 04:30:00,40.0
588,2023-02-20 04:40:00,40.0
589,2023-02-20 04:50:00,40.0
590,2023-02-20 05:00:00,40.0
591,2023-02-20 05:10:00,40.0
592,2023-02-20 05:20:00,40.0
593,2023-02-20 05:30:00,40.0
594,2023-02-20 05:40:00,40.0
595,2023-02-20 05:50:00,40.0
596,2023-02-20 06:00:00,40.0
597,2023-02-20 06:10:00,40.0
598,2023-02-20 06:20:00,40.0
599,2023-02-20 06:30:00,40.0
600,2023-02-20 06:40:00,40.0
601,2023-02-20 06:50:00,40.0
602,2023-02-20 07:00:00,40.0
603,2023-02-20 07:10:00,40.0
604,2023-02-20 07:20:00,40.0
605,2023-02-20 07:30:00,40.0
606,2023-02-20 07:40:00,40.0
607,2023-02-20 07:50:00,40.0
608,2023-02-20 08:00:00,40.0
609,2023-02-20 08:10:00,40.0
610,2023-02-20 08:20:00,40.0
611,2023-02-20 08:30:00,40.0
612,2023-02-20 08:40:00,40.0
613,2023-02-20 08:50:00,40.0
614,2023-02-20 09:00:00,40.0
615,2023-02-20 09:10:00,40.0
616,2023-02-20 09:20:00,40.0
617,2023-02-20 09:30:00,39.84615384615385
618,2023-02-20 09:40:00,39.07692307692308
619,2023-02-20 09:50:00,39.6
620,2023-02-20 10:00:00,39.0
621,2023-02-20 10:10:00,39.142857142857146
622,2023-02-20 10:20:00,39.76923076923077
623,2023-02-20 10:30:00,39.38461538461539
624,2023-02-20 10:40:00,39.0
625,2023-02-20 10:50:00,39.0
626,2023-02-20 11:00:00,39.0
627,2023-02-20 11:10:00,39.0
628,2023-02-20 11:20:00,39.0
629,2023-02-20 11:30:00,39.0
630,2023-02-20 11:40:00,39.2
631,2023-02-20 11:50:00,39.75
632,2023-02-20 12:00:00,40.0
633,2023-02-20 12:10:00,40.0
634,2023-02-20 12:20:00,40.0
635,2023-02-20 12:30:00,40.0
636,2023-02-20 12:40:00,40.0
637,2023-02-20 12:50:00,40.0
638,2023-02-20 13:00:00,40.0
639,2023-02-20 13:10:00,40.0
640,2023-02-20 13:20:00,40.0
641,2023-02-20 13:30:00,40.0
642,2023-02-20 13:40:00,40.0
643,2023-02-20 13:50:00,40.0
644,2023-02-20 14:00:00,40.09090909090909
645,2023-02-20 14:10:00,41.0
646,2023-02-20 14:20:00,41.0
647,2023-02-20 14:30:00,41.0
648,2023-02-20 14:40:00,41.0
649,2023-02-20 14:50:00,41.0
650,2023-02-20 15:00:00,41.0
651,2023-02-20 15:10:00,41.0
652,2023-02-20 15:20:00,41.0
653,2023-02-20 15:30:00,41.0
654,2023-02-20 15:40:00,41.0
655,2023-02-20 15:50:00,41.0
656,2023-02-20 16:00:00,41.0
657,2023-02-20 16:10:00,41.0
658,2023-02-20 16:20:00,41.0
659,2023-02-20 16:30:00,41.0
660,2023-02-20 16:40:00,41.0
661,2023-02-20 16:50:00,41.0
662,2023-02-20 17:00:00,41.0
663,2023-02-20 17:10:00,41.0
664,2023-02-20 17:20:00,41.0
665,2023-02-20 17:30:00,41.0
666,2023-02-20 17:40:00,41.0
667,2023-02-20 17:50:00,41.0
668,2023-02-20 18:00:00,41.0
669,2023-02-20 18:10:00,41.0
670,2023-02-20 18:20:00,41.0
671,2023-02-20 18:30:00,41.0
672,2023-02-20 18:40:00,41.0
673,2023-02-20 18:50:00,41.0
674,2023-02-20 19:00:00,41.0
675,2023-02-20 19:10:00,41.0
676,2023-02-20 19:20:00,41.0
677,2023-02-20 19:30:00,41.0
678,2023-02-20 19:40:00,41.0
679,2023-02-20 19:50:00,41.0
680,2023-02-20 20:00:00,41.0
681,2023-02-20 20:10:00,41.0
682,2023-02-20 20:20:00,41.0
683,2023-02-20 20:30:00,41.0
684,2023-02-20 20:40:00,41.0
685,2023-02-20 20:50:00,41.0
686,2023-02-20 21:00:00,41.0
687,2023-02-20 21:10:00,41.0
688,2023-02-20 21:20:00,41.0
689,2023-02-20 21:30:00,40.69230769230769
690,2023-02-20 21:40:00,40.0
691,2023-02-20 21:50:00,40.0
692,2023-02-20 22:00:00,40.0
693,2023-02-20 22:10:00,40.0
694,2023-02-20 22:20:00,40.0
695,2023-02-20 22:30:00,40.0
696,2023-02-20 22:40:00,40.0
697,2023-02-20 22:50:00,40.0
698,2023-02-20 23:00:00,40.0
699,2023-02-20 23:10:00,40.0
700,2023-02-20 23:20:00,40.0
701,2023-02-20 23:30:00,40.0
702,2023-02-20 23:40:00,40.0
703,2023-02-20 23:50:00,40.0
704,2023-02-21 00:00:00,39.4
705,2023-02-21 00:10:00,39.0
706,2023-02-21 00:20:00,39.0
707,2023-02-21 00:30:00,39.0
708,2023-02-21 00:40:00,39.0
709,2023-02-21 00:50:00,39.0
710,2023-02-21 01:00:00,39.0
711,2023-02-21 01:10:00,39.0
712,2023-02-21 01:20:00,39.0
713,2023-02-21 01:30:00,39.0
714,2023-02-21 01:40:00,39.0
715,2023-02-21 01:50:00,39.0
716,2023-02-21 02:00:00,39.0
717,2023-02-21 02:10:00,39.0
718,2023-02-21 02:20:00,39.0
719,2023-02-21 02:30:00,39.0
720,2023-02-21 02:40:00,39.0
721,2023-02-21 02:50:00,39.0
722,2023-02-21 03:00:00,39.0
723,2023-02-21 03:10:00,39.0
724,2023-02-21 03:20:00,39.0
725,2023-02-21 03:30:00,39.0
726,2023-02-21 03:40:00,39.0
727,2023-02-21 03:50:00,39.0
728,2023-02-21 04:00:00,39.0
729,2023-02-21 04:10:00,39.0
730,2023-02-21 04:20:00,39.0
731,2023-02-21 04:30:00,39.0
732,2023-02-21 04:40:00,39.0
733,2023-02-21 04:50:00,39.0
734,2023-02-21 05:00:00,39.0
735,2023-02-21 05:10:00,39.0
736,2023-02-21 05:20:00,39.0
737,2023-02-21 05:30:00,39.0
738,2023-02-21 05:40:00,39.0
739,2023-02-21 05:50:00,39.0
740,2023-02-21 06:00:00,39.0
741,2023-02-21 06:10:00,39.0
742,2023-02-21 06:20:00,39.0
743,2023-02-21 06:30:00,39.0
744,2023-02-21 06:40:00,39.0
745,2023-02-21 06:50:00,39.0
746,2023-02-21 07:00:00,39.0
747,2023-02-21 07:10:00,39.0
748,2023-02-21 07:20:00,39.0
749,2023-02-21 07:30:00,38.92307692307692
750,2023-02-21 07:40:00,38.36363636363637
751,2023-02-21 07:50:00,38.0
752,2023-02-21 08:00:00,38.0
753,2023-02-21 08:10:00,38.0
754,2023-02-21 08:20:00,38.0
755,2023-02-21 08:30:00,38.0
756,2023-02-21 08:40:00,38.0
757,2023-02-21 08:50:00,38.0
758,2023-02-21 09:00:00,38.0
759,2023-02-21 09:10:00,38.0
760,2023-02-21 09:20:00,38.0
761,2023-02-21 09:30:00,38.0
762,2023-02-21 09:40:00,38.0
763,2023-02-21 09:50:00,38.0
764,2023-02-21 10:00:00,38.0
765,2023-02-21 10:10:00,38.0
766,2023-02-21 10:20:00,38.0
767,2023-02-21 10:30:00,38.0
768,2023-02-21 10:40:00,38.0
769,2023-02-21 10:50:00,38.0
770,2023-02-21 11:00:00,38.0
771,2023-02-21 11:10:00,38.0
772,2023-02-21 11:20:00,38.09090909090909
773,2023-02-21 11:30:00,39.0
774,2023-02-21 11:40:00,39.0
775,2023-02-21 11:50:00,39.0
776,2023-02-21 12:00:00,39.0
777,2023-02-21 12:10:00,39.0
778,2023-02-21 12:20:00,39.0
779,2023-02-21 12:30:00,39.0
780,2023-02-21 12:40:00,39.0
781,2023-02-21 12:50:00,39.0
